ID_Avis,Date,Secteur,Entreprise,Note_Etoiles,Sentiment_IA,Theme_IA,Texte_Avis,Score_Confiance
9c9ee2cc-75f7-422c-a577-b257677e0d8e,2026-02-21,E-commerce,Leboncoin,1,Négatif,compte | mon | numéro,j ai oublié mon mot de passe et c est impossible de récupérer mon compte ou d en créer un nouveau.,0.6250617504119873
bbf7b919-771a-43e7-a594-b2a26b554b18,2026-02-21,E-commerce,Leboncoin,5,Positif,vendeur | sérieux | merci,super vendeur sérieux sympa. super transaction. merci je recommande.,0.8528608679771423
da39eacc-4e05-4b25-89a4-6dba2c6a22ff,2026-02-21,E-commerce,Leboncoin,1,Négatif,compte | mon | numéro,impossible de me connecter il me demande de créé un compte a chaque fois,0.6419371962547302
ced90aa8-907b-4fd3-afde-01dd469c0d16,2026-02-21,E-commerce,Leboncoin,5,Neutre,bien | très | super,leboncoin c ma bible,0.2348746657371521
1ec01412-d230-49e9-ba55-d8063a7359a1,2026-02-21,E-commerce,Leboncoin,5,Positif,bien | très | super,j'adore le bon coin depuis plus de 15 ans je vais dessus c’est un incontournable pour tout les occasions,0.6890335083007812
93bc5bf4-6660-4678-8703-744e91c6eb2b,2026-02-21,E-commerce,Leboncoin,1,Négatif,annonces | de | leboncoin,"profil locataire qui fait fuiter des informations, sav qui ferme les tickets à chaque réponse sans avoir apporté aucune valeur ajoutée, impossible de chercher un appart la catégorie étant rempli de coloc modéré par des robots incapables... on peut continuer de vendre des babioles façons petites annonces mais c'est tout et venant du leader c'est plus que décevant. pas la peine de demander mon n° de dossier ou je ne sais quoi je n'attends plus rien du support depuis longtemps malheureusement.",0.7035090923309326
1bb67c07-1272-4405-bfca-a19b5c0739d6,2026-02-21,E-commerce,Leboncoin,2,Négatif,annonces | de | leboncoin,excellente application si ce n'est ces publicités récurrentes et inutiles qui sont susceptibles de nous faire louper une bonne affaire. deux étoiles pour la peine !,0.7898930311203003
b0b8a639-cc5a-4447-837a-36aa15cd621c,2026-02-21,E-commerce,Leboncoin,5,Positif,bien | très | super,super cite pour faire de bonne affaire😉😉,0.634555459022522
d882e3c4-123f-444e-9be5-e31f7b84ccbd,2026-02-21,E-commerce,Leboncoin,5,Positif,merci | beaucoup | parfait,"les interlocuteurs sont respectueux et bien intentionnés, c'est très agréable, merci à tous, jpk",0.5008427500724792
040724af-0598-4707-aa62-7135d76f8b8b,2026-02-20,E-commerce,Leboncoin,1,Négatif,annonces | de | leboncoin,depuis quelques jours je n'arrive plus à mettre d'annonce ! je met une annonce et celle ci et supprimer immédiatement sans aucune raison ! merci de régler ça au plus vite,0.42930930852890015
9d8906fa-6c2e-4164-a0c3-178863bed43c,2026-02-20,E-commerce,Leboncoin,1,Négatif,pub | l'application | fermer,"contre intuitif, la pub scrabble go bloque l'application, impossible de fermer cette pub, je n'ai qu'une envie ne jamais télécharger cette appli et de retourner sur le bon coin quand ils auront changé de sponsor",0.6782205700874329
f1d99802-b8f7-4496-bb3b-847ba3b9d1df,2026-02-20,E-commerce,Leboncoin,5,Positif,merci | beaucoup | parfait,tout parfait merci beaucoup,0.8749120831489563
