Topic,Count,Name,Representation,Representative_Docs
-1,2992,-1_de_la_et_les,"['de', 'la', 'et', 'les', 'une', 'le', 'des', 'je', 'plus', 'pas']","[""le gros intérêt de la version précédente était les favoris avec un affichage par arrêt, il était possible en un coup d'oeil de savoir quand était le prochain bus et même le suivant. dans cette nouvelle version ils sont tout simplement inutilisables car rangé en vrac, trop d'information par ligne de bus,... on a bien une carte à l'ouverture de l'appli mais impossible d'avoir les informations sur les bus. j'espère une nouvelle mise à jour car pour l'instant cette appli à perdu tout intérêt."", ""trop de pub ! je suis un grand adepte de lbc depuis des années, m'y connecte plusieurs fois par jour et achète également via votre service. mais aujourd'hui c'est trop. les pubs au démarrage qu'on ne peut pas quitter avant la fin, en plus les frais obligatoires, franchement élevé, à chaque achat, les pubs dans les annonces, les pubs sur la page d'accueil, le prix des sponso des annonces.... vous dégradez bcp trop l'expérience. si seulement l'application était fluide et sans bug, même pas !"", ""avant j'utilisais l''application les yeux fermés. cette nouvelle application est maintenant plus belle mais on ne s'y retrouve plus. je l'utilisais pour regarder rapidement l'arrivée de mon bus, maintenant les horaires favoris sont classé par ligne et non plus par arret ce qui est domage. on pouvait aussi avoir accès en cliquant sur la ligne favorite aux horaires, ce qui n'est plus le cas. elle plante souvent et on ne peux utiliser le bouton retour sur android. je prefere l'ancienne version""]"
0,808,0_annonces_de_leboncoin_le,"['annonces', 'de', 'leboncoin', 'le', 'un', 'vous', 'pour', 'en', 'service', 'que']","['ne pas acheter via le moyen de paiement proposer par le site.(avec assurance) deux mois en attente de mon colis, aucun solution de la part du site. juste une enquêtes via le transporteur mais leboncoin assume rien!!! une honte. je conseil a tout le monde de payer directement sans passer par le site car aucun réel service client!!!!', ""service client inexistant incapable de régler un simple problème je déconseille leboncoin car le jour où vous allez avoir un problème vous allez perdre votre argent service client c'est des robots il ne répond pas à vos questions vous n'avez pas une vraie personne réelle pour régler vos problèmes. ça sert à rien de me demander le numéro de demande je l'ai fait vous m avez renvoyé un message automatique fait par des robots un conseil ne pas faire affaire avec leboncoin . n° 39626096"", ""service client inexistant !! toutes les demandes sont automatiquement terminé par un ia, en 2 mn la demande est classé sans suite !! vous pouvez envoyer n'importe quelle demande au service client il ne vous répondront pas !!je conseille d'éviter cette application. il n'y a que des problèmes !!!!et ne soyez pas navré vous en avez absolument rien à faire lbc 😡😡 ça vous amuse . avez-vous mis place un nouveau système de service client ? bien sûr que non, leur priorité c'est l'argent 👺👺""]"
1,470,1_application_facile_trs_simple,"['application', 'facile', 'trs', 'simple', 'bonne', 'pratique', 'utiliser', 'dutilisation', 'cette', 'utile']","['application utile et facile à utiliser', 'très bonne appli avec 0 bug. une application simple et pratique', 'très bonne application, facile à utiliser']"
2,456,2_bus_horaires_les_pas,"['bus', 'horaires', 'les', 'pas', 'sont', 'ne', 'en', 'mtro', 'des', 'le']","[""les horaires de bus donnés par l'application ne correspondent pas aux horaires réels indiqués aux arrêts de bus..."", ""sur l'ancienne version, en cliquant sur un arrêt de bus on voyait directement les horaires de l'ensemble des bus. sur la nouvelle version, il faut cliquer sur l'arrêt, choisir le bus, choisir le sens, pour enfin accéder aux horaires bus par bus... c'est d'un pénible 😭 surtout quand c'est pour un arrêt de bus ponctuel et qu'on veut juste voir le premier bus qui arrive ! à quand une maj pour rétablir cette fonctionnalité ?"", 'les horaires à l arrêt du bus ne sont pas les mêmes que sur l application et cela est dommage.']"
3,402,3_films_film_cinma_voir,"['films', 'film', 'cinma', 'voir', 'de', 'la', 'plus', 'je', 'des', 'les']","[""j'utilise cette application depuis maintenant plusieurs années. elle est vraiment complète et permet de garder en mémoire les films et séries vues. la possibilité de voir sur quelle plateforme un film est présent est une très bonne idée. le seul bémol : depuis la dernière mise à jour il faut accepter les conditions générales et impossible de cliquer sur j'accepte, même après avoir désinstallé et réinstallé l'application... de ce fait, je ne peux plus avoir accès à mon compte et mes films/séries."", ""vraiment bien, pas mal de bug sur l'avancée des séries. et ce serait bien si on pouvait modifier les notes que l'on met aux films, par exemple, un film que j'ai note 5 étoiles mais que après quelques jours je pense que c'est finalement 4,5 étoiles, et bien le film apparaîtra toujours dans mes films préférés donc que j'ai note 5 étoiles."", 'super appli pour ce repérer des séries et films, mais depuis quelques temps je ne peux plus voir les films que j\'ai mis dans la listes ""mes films à voir""']"
4,344,4_itinraire_itinraires_trajet_pas,"['itinraire', 'itinraires', 'trajet', 'pas', 'ne', 'un', 'les', 'de', 'la', 'pour']","['était pour moi un véritable outil mais ce soir elle ne fonctionne pas. elle me trouve aucun trajet je suis déçue. et lorsque je vais sur le site tcl avec mon portable pour chercher un trajet et que je clic sur ""plus tard"" ça me met systématiquement plus tôt... bref je suis carrément déçue et je ne comprends pas ce qu\'il s\'est passé.', 'une application sans aucune logique qui rend le service itinéraire désagréable : un trajet simple d\'un point a à un point b tous 2 desservis par la ligne t1 par exemple, avec pour critère ""- de correspondance"" nous calcule un itinéraire qui comprend au moins une correspondance sans prendre le t1, autant dire que les critères ne sont pas respectés, ce qui est insupportable quand on ne veux pas passer son temps à changer de transport et en même temps avoir une estimation de la durée du trajet...', ""je me vois obligée de ne mettre qu'une étoile car alors que j'avais particulièrement besoin d'un trajet dans un coin que je connais peu, l'appli a décidé de ne plus trouver aucune correspondance. aucune. d'autre part quand elle se décide à comprendre le trajet que je demande elle me propose des trajets compliqués et inutiles. accessoirement la ligne de bus en bas de chez moi n'est jamais prise en compte dans mon trajet proposé, on me conseille plutôt de faire 30 minutes de marche. améliorations à prévoir.""]"
5,341,5_films_cinma_film_les,"['films', 'cinma', 'film', 'les', 'pour', 'voir', 'trs', 'application', 'sries', 'et']","['ma référence pour les films et les séries', 'bonne appli pour se faire une idée des films avant de les voir', 'très bonne application sur les cinémas, les films et les séries.']"
6,337,6_bien_trs_super_bonne,"['bien', 'trs', 'super', 'bonne', 'appli', 'indispensable', 'incontournable', 'ras', 'bon', 'good']","[""c'est super bien"", 'super très bien', 'super bien']"
7,215,7_tcl_live_bus_que,"['tcl', 'live', 'bus', 'que', 'le', 'rseau', 'en', 'les', 'de', 'pas']","['application en régression . l application tcl live qui permettait de voir en temps réel le trafic n existe plus et est remplacé par le live dans cette application qui ne fonctionne pas du tout. par exemple en ce moment je suis dans un bus, mais il n est pas du tout présent sur le live 🫤. l appl tcl live était bien plus précise pour la localisation des bus en temps réel, a quand la réédition de cette appli?', ""où est passé tcl live ? c'était trop pratique pour être conservé ?"", ""c'est tcl....""]"
8,184,8_pratique_trs_utile_efficace,"['pratique', 'trs', 'utile', 'efficace', 'tres', 'super', 'et', 'appli', 'bonne', 'bien']","['pratique et intéressant', 'très utile et pratique', 'pratique et utile']"
